FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201811,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,17.75,48.23,-38.16,-68.64,10969.13,0.69,0.52,0.1,0.88,10.33,20.48,3.33,3.8,3.32,0.96,1.03,76.2,2826.08,3504.9,2291.39,512267592,29/05/2019
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201812,1/4/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,67.53,64.78,-91.8,-89.05,10624.68,0.69,0.52,-1.87,-1.01,9.15,17.95,2.96,3.36,3.46,0.84,0.74,75.6,2677.04,3360.62,2206.78,512267592,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201801,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,23.86,15.87,-11.74,-3.75,6874.11,0.66,0.51,1.63,1.63,14.39,31.92,4.58,5.7,3.62,1.68,1.51,80.4,2404.77,1645.08,1289.25,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201802,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,13.75,17.36,-24.41,-28.02,6772.72,0.66,0.51,-1,0.61,10.74,29.54,3.46,5.31,3.68,1.68,1.33,79.9,2475.03,1964.38,1307.55,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201803,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,13.44,18.71,-0.64,-5.91,6728.19,0.66,0.51,-0.51,0.1,9.41,29.05,3.04,5.23,3.7,1.8,1.26,79.1,2393.37,1869.52,1362.51,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201804,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,14.01,15.81,9.73,7.93,6792.62,0.66,0.51,0.9,1,9.85,28.84,3.18,5.2,3.69,1.8,1.31,79.4,2454.4,1956.77,1452.9,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201805,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,16.89,25.48,4.41,-4.18,6784.39,0.66,0.51,0,1,9.08,26.64,2.94,4.84,3.65,1.56,1.25,79.3,2409.67,1903.89,1370.93,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201806,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,23.71,18.06,15.6,21.25,6790.76,0.66,0.51,-0.16,0.84,11.15,28.54,3.59,5.15,3.54,1.44,1.3,79.1,2411.69,1867.23,1451.44,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201807,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,19.03,16.65,4.88,7.26,6874.7,0.66,0.51,1.19,2.04,10.91,27.98,3.51,5.06,3.51,1.44,1.35,79.3,2480.46,1862.73,1540.04,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201808,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,14.83,24.44,14.19,4.58,6952.51,0.66,0.51,1.12,3.18,13.83,29.85,4.41,5.36,3.51,1.32,1.46,79.1,2568.62,2016.42,1620.9,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201809,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,12.33,10.84,10.1,11.59,6964.46,0.66,0.51,0.06,3.24,16,27.33,5.07,4.95,3.43,1.32,1.41,78.7,2565.58,2036.58,1601.66,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201810,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,16.49,15.66,3.82,4.65,6845.82,0.66,0.51,-1.72,1.47,11.35,23.22,3.65,4.26,3.52,1.08,1.08,78.3,2303.41,1894.83,1504.84,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201811,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,14.83,16.24,13.51,12.1,6886.64,0.66,0.51,0.47,1.95,12.03,21.91,3.86,4.04,3.48,1.08,1.08,77.8,2405.55,2119.66,1569.16,512065202,29/05/2019
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201812,1/1/1970,כלל האוכלוסיה,מדרגות,50-60,27.31,20.03,6.6,13.88,6689.87,0.66,0.51,-2.99,-1.1,9.78,18.35,3.16,3.43,3.78,0.84,0.65,77.4,2346.84,2219.13,1502.1,512065202,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201801,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,9.91,1.87,13.94,21.98,739.61,0.56,0,0.82,0.82,13.07,26.83,4.18,4.87,3.14,1.2,1.46,87.2,177.27,110.8,133.61,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201802,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,5.95,1.2,3.29,8.04,739.75,0.56,0,-1.02,-0.21,9.09,23.84,2.94,4.37,3.17,1.2,1.24,87.6,177.84,115.9,139.96,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201803,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,7.5,2.08,4.44,9.86,746.82,0.56,0,-0.33,-0.54,8.14,22.89,2.64,4.21,3.19,1.2,1.17,87.7,175.55,114.69,139.24,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201804,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,2.81,1.46,3.58,4.93,755.54,0.56,0,0.55,0.01,8.06,22.88,2.62,4.21,3.19,1.2,1.21,87.8,180.2,118.41,142.7,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201805,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,3.23,2.37,-1.8,-0.94,755.51,0.56,0,0.17,0.18,7.88,21.24,2.56,3.93,3.14,0.96,1.17,87.3,184.92,121.78,142.36,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201806,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,2.5,2.08,-5.95,-5.53,751.96,0.56,0,0.31,0.49,10.48,22.84,3.38,4.2,3.08,0.96,1.25,87.1,181.3,123.85,146.63,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201807,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,3.36,1.56,-5.03,-3.23,753.83,0.56,0,0.73,1.22,10.21,21.9,3.29,4.04,3.04,0.84,1.28,87.3,187.24,128.88,150.26,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201808,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,2.49,1.44,-1.97,-0.92,759.82,0.56,0,0.99,2.23,12.87,23.5,4.12,4.31,3.04,0.72,1.4,87.1,188.38,125.56,151.24,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201809,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,1.12,1.19,-8.46,-8.53,751.43,0.56,0,0.07,2.3,14.74,21.2,4.69,3.92,2.95,0.72,1.34,86.9,186.89,127.83,151.46,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201810,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,5.35,1.13,-3.65,0.57,742.78,0.56,0,-1.18,1.09,11.17,18.78,3.59,3.5,3.02,0.72,1.09,86.8,179.74,122.83,151.47,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201811,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,4.49,1.97,0.71,3.23,746.19,0.56,0,0.07,1.16,11.13,17.51,3.58,3.28,3,0.72,1.05,87.1,178.9,119.26,150.27,512227265,29/05/2019
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",201812,1/1/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,6.39,3.35,4.26,7.3,737.55,0.56,0,-2.09,-0.95,9.54,15.15,3.08,2.86,3.17,0.6,0.7,86.9,164.71,114.3,140.58,512227265,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201801,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.65,5.19,-23.27,-26.81,1038.69,0.56,0.06,0.27,0.27,5.11,16.25,1.68,3.06,2.58,-0.96,0.98,83,0.04,104.47,74.43,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201802,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1,4.62,-10.96,-14.58,1017.33,0.56,0.06,-0.6,-0.33,3.14,15.02,1.04,2.84,2.6,-0.84,0.85,87.1,0.04,81.27,74.55,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201803,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.24,3.61,-13.73,-16.1,1004.03,0.56,0.06,0.33,0,3.66,15.33,1.21,2.89,2.6,-0.84,0.89,86.9,0.04,108.43,74.69,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201804,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.04,3.74,-5.92,-8.62,995.13,0.56,0.06,0.02,0.02,3.05,13.7,1.01,2.6,2.54,-0.84,0.84,86.7,0.04,110.92,76.37,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201805,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.83,3.01,-9.24,-11.42,982.05,0.56,0.06,-0.12,-0.1,3.53,13.07,1.16,2.49,2.55,-0.84,0.79,86.8,0.04,113.15,74.33,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201806,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.28,1.99,-11.69,-12.4,968.64,0.56,0.06,-0.06,-0.16,6.36,13.7,2.08,2.6,2.52,-0.72,0.81,86.8,0.04,102.36,75.39,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201807,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.77,5.51,-14.81,-19.55,950.6,0.56,0.06,0.2,0.04,5.51,12.78,1.8,2.43,2.5,-0.84,0.79,86.5,0.04,101.84,77.18,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201808,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",3.06,2.85,-9.7,-9.49,943.64,0.56,0.06,0.31,0.35,5.33,13.89,1.75,2.64,2.47,-0.84,0.88,86.4,0.04,99.12,75.98,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201809,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.76,1.68,-1.55,-2.47,940.17,0.56,0.06,-0.04,0.31,6.12,12.52,2,2.39,2.43,-0.84,0.81,86.5,0.04,102.62,76.51,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201810,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.8,4.2,-6.79,-10.19,925.94,0.56,0.06,-0.41,-0.1,4.76,11.29,1.56,2.16,2.43,-0.72,0.7,86.5,0.04,110.96,77.58,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201811,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.12,4.5,-9.46,-13.84,907.62,0.56,0.06,-0.45,-0.55,4.63,9.68,1.52,1.87,2.42,-0.72,0.58,86.3,0.04,104.98,98.75,512244146,29/05/2019
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",201812,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",2.55,3.68,-8.94,-10.07,894.47,0.56,0.06,-0.3,-0.85,4.45,10.03,1.46,1.93,2.4,-0.72,0.55,86.8,0.02,83.68,97.59,512244146,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201801,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,2.35,0.52,-1.83,166.32,0.42,,1.39,1.39,15.66,31,4.97,5.55,3.65,1.2,1.48,88.3,58.9,35.59,26.2,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201802,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.67,0,-0.67,163.1,0.42,,-1.5,-0.13,11.33,27.45,3.64,4.97,3.74,0.96,1.22,88.7,57.1,33.77,27.67,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201803,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.53,0.04,-0.49,161.1,0.42,,-0.89,-1.02,9.75,25.69,3.15,4.68,3.78,0.96,1.09,88.5,56.04,33.79,27.44,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201804,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.6,-0.8,-1.4,160.29,0.42,,0.4,-0.62,9.56,25.49,3.09,4.65,3.78,0.84,1.1,88.5,56.86,34.89,28.47,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201805,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.79,-0.5,-1.29,160.02,0.42,,0.68,0.05,10.24,24.32,3.3,4.45,3.74,0.84,1.12,88.5,56.53,36.17,30.22,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201806,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,1.09,0,-1.09,158.84,0.42,,-0.03,0.02,12.92,25.78,4.13,4.69,3.68,0.72,1.15,88.6,55.87,36.68,31.06,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201807,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.08,0,-0.08,160.21,0.42,,0.95,0.97,12.59,25.45,4.03,4.64,3.67,0.72,1.19,88.7,57.75,38.27,31.85,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201808,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.07,-0.74,-0.81,162.25,0.42,,1.81,2.8,15.88,28.52,5.04,5.15,3.7,0.72,1.35,88.5,59.63,38.45,32.29,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201809,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.16,0,-0.16,162.16,0.42,,0.08,2.88,17.92,26.01,5.65,4.73,3.62,0.84,1.3,88.6,59.51,38.47,32.26,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201810,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,1.29,-11.58,-12.87,146.31,0.42,,-1.85,0.98,13.19,22.47,4.22,4.14,3.75,0.6,1,88.2,53.76,34.4,29.59,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201811,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.11,0,-0.11,146.06,0.42,,-0.07,0.91,13.53,20.34,4.32,3.77,3.7,0.6,0.94,88.2,54.19,34.17,29.57,511880460,29/05/2019
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",201812,8/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.84,0,-0.84,140.89,0.42,,-2.94,-2.06,11.31,17.2,3.64,3.23,3.97,0.36,0.58,88.5,52.07,33.67,27.86,511880460,29/05/2019
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201801,28/06/1972,כלל האוכלוסיה,כללי,כללי,2.07,7.01,5.27,0.33,935.63,0.67,0.25,0.95,0.95,12.11,30.36,3.88,5.45,3.31,1.08,1.52,85.1,187.26,218.16,137.48,512245812,29/05/2019
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201802,28/06/1972,כלל האוכלוסיה,כללי,כללי,1.48,7.62,13.77,7.63,935.85,0.67,0.25,-0.73,0.21,8.76,28.2,2.84,5.09,3.35,1.2,1.36,85.1,188.47,232.04,142.74,512245812,29/05/2019
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201803,28/06/1972,כלל האוכלוסיה,כללי,כללי,1.84,7.11,15.68,10.41,944.25,0.67,0.25,-0.15,0.06,8.11,27.53,2.63,4.98,3.36,1.2,1.32,85.1,179.45,219.55,142.12,512245812,29/05/2019
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",201804,28/06/1972,כלל האוכלוסיה,כללי,כללי,5.36,8.44,11.6,8.52,957.19,0.67,0.25,0.53,0.59,7.96,26.93,2.59,4.88,3.35,1.2,1.34,85.2,187.69,239.68,151.18,512245812,29/05/2019
